APELLIDO,DIRECCION,DNI,FECHA_CONTRATACION,FECHA_NACIMIENTO,GENERO,ID_EMPLEADO,ID_NIVEL_ACCESO,TELEFONO_MOVIL,TITULO_UNIVERSITARIO
Paredes,"Ronda de Ezequiel Bautista 650; Lleida, 68717",31.537.919,2016-03-09,1968-11-06,F,1,2,+34 734 981 403,Biotecnólogo
Vega,"Via Felicia Alberto 9; Córdoba, 77386",23.649.495,2015-12-29,1967-07-07,M,2,1,+34936 811 967,Ingeniero Químico
Dominguez,"Rambla Carlito Soriano 957 Apt. 73 ; Guipúzcoa, 98539",29.158.589,2013-02-27,1988-03-28,F,3,3,+34726123446,Ingeniero Químico
Ramón,"Via de Gervasio Sevilla 665 Puerta 5 ; Albacete, 27204",28.982.034,2015-03-03,1961-12-12,F,4,3,+34986 294 324,Técnico Químico
Figuerola,"Plaza de Máximo Abril 44 Piso 7 ; Zamora, 73597",39.144.146,2017-03-19,1997-12-07,F,5,1,+34687086014,Biotecnólogo
Valero,"Alameda Bernabé Gimenez 47; Málaga, 37018",30.838.629,2012-11-05,2003-04-18,M,6,3,+34722 12 65 34,Biotecnólogo
Arregui,"Pasaje Vito Riera 70 Puerta 3 ; La Coruña, 78319",37.914.311,2021-01-24,1970-09-20,F,7,1,+34707 12 59 63,Licenciado en Química
Sotelo,"Ronda de Ale Araujo 16; Córdoba, 04564",21.544.349,2015-01-06,1981-03-23,F,8,1,+34 714 99 35 50,Farmacéutico
Calderón,"Paseo Maricela Osorio 8 Apt. 57 ; Cantabria, 88222",38.395.816,2015-01-07,1959-11-16,M,9,1,+34719 46 86 04,Ingeniero Químico
Duran,"Ronda Gisela Márquez 482 Puerta 0 ; Guipúzcoa, 58410",26.538.837,2016-02-13,1986-05-10,M,10,2,+34708 90 57 50,Técnico Químico
Segura,"Cuesta Cristian Anaya 11 Puerta 3 ; Salamanca, 61980",27.705.887,2020-11-16,1995-01-02,F,11,1,+34746 733 184,Ingeniero Químico
Oliveras,"Pasadizo de Eugenio Albero 22 Apt. 03 ; Jaén, 60798",20.189.432,2016-01-27,1986-12-24,F,12,2,+34960765009,Bioquímico
Delgado,"C. de Genoveva Alcaraz 5; Asturias, 80356",26.666.213,2020-10-07,1987-10-17,M,13,3,+34 879890715,Licenciado en Química
Amador,"Plaza de Aroa Acero 3 Apt. 81 ; Álava, 37217",30.078.285,2013-01-10,1996-08-20,F,14,3,+34716138623,Bioquímico
Milla,"Pasadizo Rico Malo 10 Puerta 7 ; Palencia, 80500",31.174.414,2017-06-21,2001-09-12,F,15,3,+34 747 815 395,Ingeniero Químico
Hurtado,"Vial de Lázaro Ríos 697 Apt. 05 ; Tarragona, 50097",26.128.456,2016-04-11,2002-08-26,M,16,3,+34728 85 20 43,Ingeniero Químico
Alcántara,"C. de María Merino 8; Teruel, 31523",26.991.959,2019-08-06,1975-12-02,F,17,2,+34 743 55 17 81,Bioquímico
Montoya,"Ronda de Che Sola 6 Puerta 1 ; La Coruña, 99791",36.735.697,2016-04-06,2002-08-15,M,18,2,+34 703060285,Farmacéutico
Solano,"Via Griselda Mariscal 805; Segovia, 18907",27.674.282,2018-04-02,1961-12-11,M,19,3,+34 727 81 68 60,Licenciado en Química
Ripoll,"Alameda de Perla Dueñas 9; La Coruña, 74788",30.574.466,2020-06-18,1986-07-13,F,20,2,+34 723 224 173,Bioquímico
